12/2023;32008;
01/2024;38764;
02/2024;37926;
03/2024;51846;
04/2024;46868;
05/2024;45100;
06/2024;45140;
07/2024;44590;
08/2024;44627;
09/2024;44660;
10/2024;43787;
11/2024;43360;
